gene,TAloc,ORFsize
1,61,1524
1,73,1524
1,103,1524
1,189,1524
1,247,1524
1,334,1524
1,361,1524
1,427,1524
1,449,1524
1,472,1524
1,484,1524
1,495,1524
1,505,1524
1,515,1524
1,526,1524
1,535,1524
1,602,1524
1,654,1524
1,671,1524
1,707,1524
1,742,1524
1,785,1524
1,795,1524
1,844,1524
1,990,1524
1,1093,1524
1,1105,1524
1,1268,1524
1,1279,1524
1,1346,1524
1,1424,1524
1,1523,1524
2,13,1209
2,54,1209
2,91,1209
2,182,1209
2,240,1209
2,265,1209
2,268,1209
2,283,1209
2,294,1209
2,313,1209
2,337,1209
2,354,1209
2,377,1209
2,429,1209
2,457,1209
2,487,1209
2,541,1209
2,598,1209
2,688,1209
2,724,1209
2,795,1209
2,870,1209
2,977,1209
2,1006,1209
2,1016,1209
2,1020,1209
2,1069,1209
2,1081,1209
2,1095,1209
2,1172,1209
2,1178,1209
3,5,1158
3,51,1158
3,94,1158
3,101,1158
3,106,1158
3,118,1158
3,134,1158
3,147,1158
3,163,1158
3,189,1158
3,193,1158
3,235,1158
3,313,1158
3,404,1158
3,430,1158
3,450,1158
3,461,1158
3,492,1158
3,504,1158
3,518,1158
3,555,1158
3,647,1158
3,682,1158
3,689,1158
3,708,1158
3,733,1158
3,750,1158
3,816,1158
3,840,1158
3,843,1158
3,852,1158
3,880,1158
3,929,1158
3,939,1158
3,1075,1158
4,232,564
4,289,564
4,357,564
4,480,564
4,529,564
4,538,564
4,557,564
4,563,564
5,25,2061
5,68,2061
5,82,2061
5,131,2061
5,159,2061
5,215,2061
5,234,2061
5,312,2061
5,342,2061
5,374,2061
5,381,2061
5,418,2061
5,426,2061
5,464,2061
5,482,2061
5,587,2061
5,772,2061
5,791,2061
5,850,2061
5,923,2061
5,1025,2061
5,1044,2061
5,1081,2061
5,1198,2061
5,1285,2061
5,1297,2061
5,1321,2061
5,1400,2061
5,1407,2061
5,1467,2061
5,1524,2061
5,1588,2061
5,1604,2061
5,1651,2061
5,1739,2061
5,1778,2061
5,1862,2061
5,1872,2061
5,1888,2061
5,2020,2061
5,2060,2061
6,83,2517
6,92,2517
6,170,2517
6,251,2517
6,278,2517
6,320,2517
6,386,2517
6,463,2517
6,467,2517
6,498,2517
6,565,2517
6,670,2517
6,731,2517
6,777,2517
6,799,2517
6,827,2517
6,919,2517
6,936,2517
6,988,2517
6,995,2517
6,1038,2517
6,1091,2517
6,1094,2517
6,1136,2517
6,1186,2517
6,1246,2517
6,1486,2517
6,1558,2517
6,1574,2517
6,1601,2517
6,1730,2517
6,1745,2517
6,1800,2517
6,1850,2517
6,1865,2517
6,2119,2517
6,2165,2517
6,2192,2517
6,2203,2517
6,2219,2517
6,2226,2517
6,2242,2517
6,2264,2517
6,2324,2517
6,2476,2517
6,2516,2517
7,111,915
7,192,915
7,365,915
7,387,915
7,502,915
7,514,915
7,671,915
7,688,915
7,696,915
7,857,915
7,914,915
9,137,138
9,75,138
9,34,138
9,18,138
9,14,138
10,270,438
10,258,438
10,167,438
10,62,438
11,25,549
11,46,549
11,64,549
11,155,549
11,197,549
11,284,549
11,332,549
12,152,153
12,131,153
12,98,153
12,22,153
12,9,153
13,404,426
13,391,426
13,284,426
13,250,426
13,237,426
13,234,426
13,190,426
13,100,426
13,90,426
13,73,426
14,224,282
14,144,282
14,93,282
15,1,789
15,9,789
15,90,789
15,280,789
15,334,789
15,367,789
15,534,789
15,574,789
15,578,789
15,580,789
15,590,789
15,662,789
15,671,789
15,695,789
15,726,789
15,734,789
15,785,789
16,26,699
16,56,699
16,111,699
16,172,699
16,202,699
16,309,699
16,333,699
16,357,699
16,392,699
16,415,699
16,454,699
16,552,699
16,603,699
16,664,699
16,679,699
17,1880,1881
17,1814,1881
17,1698,1881
17,1659,1881
17,1544,1881
17,1310,1881
17,1287,1881
17,1198,1881
17,1038,1881
17,951,1881
17,936,1881
17,913,1881
17,788,1881
