gene,length,class
1,1524,MMM: DNA replication; repair; recombination and restriction/modification
2,1209,MMM: DNA replication; repair; recombination and restriction/modification
3,1158,MMM: DNA replication; repair; recombination and restriction/modification
4,564,Conserved Hypotheticals
5,2061,MMM: DNA replication; repair; recombination and restriction/modification
6,2517,MMM: DNA replication; repair; recombination and restriction/modification
7,915,Conserved Hypotheticals
9,138,noRV
10,438,Unknowns
11,549,MMM: Protein translation and modification
12,153,noRV
13,426,Unknowns
14,282,Unknowns
15,789,Cell Process: Cell division
16,699,SMM: Biosyn of Folic acid
17,1881,SMM: Ser/Thr protein kinases and phosphoprotein phosphatases
18,1296,SMM: Ser/Thr protein kinases and phosphoprotein phosphatases
19,1476,MMM: Murein sacculus and peptidoglycan
20,1410,MMM: Murein sacculus and peptidoglycan
21,1536,SMM: Ser/Thr protein kinases and phosphoprotein phosphatases
22,468,Conserved Hypotheticals
23,1566,Conserved Hypotheticals
24,969,Conserved Hypotheticals
25,309,Conserved Hypotheticals
26,771,SMM: Repressors/activators
27,846,Other: Virulence
28,273,Conserved Hypotheticals
29,1347,Conserved Hypotheticals
30,318,Conserved Hypotheticals
30.1,228,noRV
31,144,noRV
32,579,Unknowns
33,453,Conserved Hypotheticals
34,330,Unknowns
35,213,Conserved Hypotheticals
36,258,noRV
37,2316,SMM: Biosynthesis of Biotin
38,264,SMM: Biosyn of fatty and mycolic acids
39,396,Unknowns
40,1689,SMM: Degradation of fatty acids
41,774,Conserved Hypotheticals
42,1302,MMM: Other membrane proteins
43,609,Conserved Hypotheticals
44,348,Conserved Hypotheticals
46,933,Conserved Hypotheticals
47,2910,MMM: Aminoacyl tRNA synthases and their modification
48,627,Conserved Hypotheticals
49,735,SMM: Repressors/activators
50,795,SMM: Misc oxidoreductases and oxygenases
51,897,SMM: Acyltransferases; mycoloyltransferases; and phospholipid synthesis
52,1104,Conserved Hypotheticals
53,543,Conserved Hypotheticals
54,870,Unknowns
55,414,Unknowns
56,2463,MMM: Murein sacculus and peptidoglycan
57,1638,MMM: Other membrane proteins
58,639,Conserved Hypotheticals
59,291,MMM: Ribosomal protein synthesis and modification
60,495,MMM: DNA replication; repair; recombination and restriction/modification
61,255,MMM: Ribosomal protein synthesis and modification
62,459,MMM: Ribosomal protein synthesis and modification
63,522,Unknowns
64,2625,MMM: DNA replication; repair; recombination and restriction/modification
65,693,Unknowns
66,1059,Unknowns
66.1,381,Unknowns
66.2,213,noRV
67,1143,MMM: Degradation of Polysaccharides; lipopolysaccharides and phospholipids
68,1440,SMM: Misc oxidoreductases and oxygenases
