Rv#,Product,Gene ,Sub-classification,MT,MT#,#TA,TotalTA/Group
871,probable cold shock protein,cspB,Cell Process: Adaptations and atypical conditions,MT0893,893,4,
1026,probable pppGpp-5'phosphohydrolase,,Cell Process: Adaptations and atypical conditions,MT1054,1054,8,
1901,competence damage protein,cinA,Cell Process: Adaptations and atypical conditions,MT1952,1952,19,
2006,trehalose-6-phosphate phosphatase,otsB,Cell Process: Adaptations and atypical conditions,MT2062,2062,8,
3063,starvation-induced stress response protein,cstA,Cell Process: Adaptations and atypical conditions,MT3149,3149,30,
3372,trehalose-6-phosphate phosphatase,otsB2,Cell Process: Adaptations and atypical conditions,MT3482,3482,24,
3490,probable [alpha]; -trehalose-phosphate synthase,otsA,Cell Process: Adaptations and atypical conditions,MT3594,3594,30,
3648,cold shock protein; transcriptional regulator,cspA,Cell Process: Adaptations and atypical conditions,MT3750.1,3750.1,4,
3756,transport system permease,proZ,Cell Process: Adaptations and atypical conditions,MT3863,3863,16,
3757,transport system permease,proW,Cell Process: Adaptations and atypical conditions,MT3864,3864,13,
3758,osmoprotection ABC transporter,proV,Cell Process: Adaptations and atypical conditions,MT3865,3865,17,
3759,similar to osmoprotection proteins,proX,Cell Process: Adaptations and atypical conditions,MT3866,3866,15,188
12,possible cell division protein ,,Cell Process: Cell division,MT0015,15,16,
435,ATPase of AAA-family,,Cell Process: Cell division,MT0451,451,23,
1708,possible role in chromosome partitioning,,Cell Process: Cell division,MT1749,1749,16,
2115,ATPase of AAA-family,,Cell Process: Cell division,MT2175,2175,29,
2150,circumferential ring; GTPase,ftsZ,Cell Process: Cell division,MT2209,2209,8,
2151,ingrowth of wall at septum,ftsQ,Cell Process: Cell division,MT2210,2210,7,
2154,membrane protein (shape determination),ftsW,Cell Process: Cell division,MT2213,2213,18,
2748,chromosome partitioning,ftsK,Cell Process: Cell division,MT2819,2819,33,
2921,cell division protein FtsY,ftsY,Cell Process: Cell division,MT2989,2989,13,
2922,member of Smc1/Cut3/Cut14 family,smc,Cell Process: Cell division,MT2990,2990,41,
3101,membrane protein ,ftsX,Cell Process: Cell division,MT3185,3185,18,
3102,membrane protein   ,ftsE,Cell Process: Cell division,MT3186,3186,8,
3213,possible role in chromosome segregation,,Cell Process: Cell division,MT3309,3309,11,
3610,inner membrane protein; chaperone,ftsH,Cell Process: Cell division,MT3714,3714,34,
3625,probable cell cycle protein,mesJ,Cell Process: Cell division,MT3727,3727,9,
3641,possible cell division protein ,fic,Cell Process: Cell division,MT3743,3743,10,
3917,chromosome partitioning: DNA binding,parA,Cell Process: Cell division,MT4036,4036,18,
3918,possibly involved in chromosome partitioning,parB,Cell Process: Cell division,MT4037,4037,20,
3919,glucose inhibited division protein B,gid,Cell Process: Cell division,MT4038,4038,13,345
251,possible heat shock protein,hsp,Cell Process: Chaperones/Heat Shock,MT0265,265,5,
350,70 kD heat shock protein; chromosome replication ,dnaK,Cell Process: Chaperones/Heat Shock,MT0365,365,17,
351,stimulates DnaK ATPase activity,grpE,Cell Process: Chaperones/Heat Shock,MT0366,366,8,
352,acts with GrpE to stimulate DnaK ATPase,dnaJ,Cell Process: Chaperones/Heat Shock,MT0367,367,14,
353,heat shock regulator ,hspR,Cell Process: Chaperones/Heat Shock,MT0368,368,6,
384,heat shock protein,clpB,Cell Process: Chaperones/Heat Shock,MT0397,397,25,
440,60 kD chaperonin 2,groEL2,Cell Process: Chaperones/Heat Shock,MT0456,456,13,
563,probable (transmembrane) heat shock protein,htpX,Cell Process: Chaperones/Heat Shock,MT0589,589,11,
2031,14 kD antigen; heat shock protein Hsp20 family,hspX,Cell Process: Chaperones/Heat Shock,MT2090,2090,8,
2299,heat shock protein Hsp90 family,htpG,Cell Process: Chaperones/Heat Shock,MT2356,2356,29,
2373,DnaJ homologue,dnaJ2,Cell Process: Chaperones/Heat Shock,MT2442,2442,10,
2374,heat-inducible transcription repressor,hrcA,Cell Process: Chaperones/Heat Shock,MT2443,2443,23,
2701,putative extragenic suppressor protein,suhB,Cell Process: Chaperones/Heat Shock,MT2775,2775,11,
3269,possible heat shock protein,,Cell Process: Chaperones/Heat Shock,MT3369,3369,14,
3417,60 kD chaperonin 1,groEL1,Cell Process: Chaperones/Heat Shock,MT3526,3526,16,
3418,10 kD chaperone,groES,Cell Process: Chaperones/Heat Shock,MT3527,3527,4,214
134,probable epoxide hydrolase,epnF,Cell Process: Detoxification,MT0142,142,12
432,superoxide dismutase precursor (Cu-Zn),sodC,Cell Process: Detoxification,MT0447,447,12
554,probable non-heme bromoperoxidase,bpoC,Cell Process: Detoxification,MT0580,580,14
634,putative glyoxylase II,,Cell Process: Detoxification,MT0662,662,13
1123,probable non-heme bromoperoxidase,bpoB,Cell Process: Detoxification,MT1155,1155,9
1124,probable epoxide hydrolase,ephC,Cell Process: Detoxification,MT1156,1156,12
1608,probable bacterioferritin comigratory protein,pcpB,Cell Process: Detoxification,MT1643,1643,10
1908,catalase-peroxidase,katG,Cell Process: Detoxification,MT1959,1959,39
1932,thiol peroxidase,tpx,Cell Process: Detoxification,MT1982,1982,8
1938,probable epoxide hydrolase,ephB,Cell Process: Detoxification,MT1988,1988,17
2214,probable epoxide hydrolase,ephD,Cell Process: Detoxification,MT2270,2270,31
2238,member of AhpC/TSA family,ahpE,Cell Process: Detoxification,MT2298,2298,5
2428,alkyl hydroperoxide reductase,ahpC,Cell Process: Detoxification,MT2503,2503,9
2429,member of AhpC/TSA family,ahpD,Cell Process: Detoxification,MT2504,2504,13
2521,bacterioferritin comigratory protein,bcp,Cell Process: Detoxification,MT2597,2597,9
2581,putative glyoxylase II,,Cell Process: Detoxification,MT2658,2658,7
3171,probable non-heme haloperoxidase,hpx,Cell Process: Detoxification,MT3260,3260,15,
3177,probable non-heme haloperoxidase,,Cell Process: Detoxification,MT3266,3266,13,
3473,probable non-heme bromoperoxidase,bpoA,Cell Process: Detoxification,MT3579,3579,11,
3617,probable epoxide hydrolase,ephA,Cell Process: Detoxification,MT3719,3719,19,
3670,probable epoxide hydrolase,ephE,Cell Process: Detoxification,MT3771,3771,16,
3846,superoxide dismutase  ,sodA,Cell Process: Detoxification,MT3960,3960,14,308
783,multidrug resistance protein,,Cell Process: Efflux proteins,MT0807,807,28,
849,possible quinolone efflux pump,,Cell Process: Efflux proteins,MT0872,872,23,
1145,probable drug transporter,,Cell Process: Efflux proteins,MT1178,1178,3,
1146,probable drug transporter,,Cell Process: Efflux proteins,MT1179.1,1179.1,35,
1250,probable drug efflux protein,,Cell Process: Efflux proteins,MT1289,1289,30,
1258,probable multidrug resistance pump,,Cell Process: Efflux proteins,MT1297,1297,22,
1410,probable drug efflux protein,,Cell Process: Efflux proteins,MT1454,1454,30,
1634,probable drug efflux protein,,Cell Process: Efflux proteins,MT1670,1670,33,
1819,probable multidrug resistance pump,,Cell Process: Efflux proteins,MT1867,1867,33,
1877,probable drug efflux protein,,Cell Process: Efflux proteins,MT1926,1926,33,
