Rv#,Product,Gene ,Sub-classification
1,chromosomal replication initiator protein,dnaA,MMM: DNA replication; repair; recombination and restriction/modification
2,DNA polymerase III; [beta] subunit,dnaN,MMM: DNA replication; repair; recombination and restriction/modification
3,DNA replication and SOS induction,recF,MMM: DNA replication; repair; recombination and restriction/modification
4,conserved hypothetical protein,,Conserved Hypotheticals
5,DNA gyrase subunit B,gyrB,MMM: DNA replication; repair; recombination and restriction/modification
6,DNA gyrase subunit A,gyrA,MMM: DNA replication; repair; recombination and restriction/modification
7,conserved hypothetical protein,,Conserved Hypotheticals
8,Hypothetical protein,,Unknowns
9,peptidyl-prolyl cis-trans isomerase,ppiA,MMM: Protein translation and modification
10,Hypothetical protein,,Unknowns
11,Hypothetical protein,,Unknowns
12,possible cell division protein ,,Cell Process: Cell division
13,p-aminobenzoate synthase glutamine amidotransferase,pabA,SMM: Biosyn of Folic acid
14,serine-threonine protein kinase,pknB,SMM: Ser/Thr protein kinases and phosphoprotein phosphatases
15,serine-threonine protein kinase,pknA,SMM: Ser/Thr protein kinases and phosphoprotein phosphatases
16,penicillin-binding protein,pbpA,MMM: Murein sacculus and peptidoglycan
17,FtsW/RodA/SpovE family,rodA,MMM: Murein sacculus and peptidoglycan
18,putative phosphoprotein phosphatase,ppp,SMM: Ser/Thr protein kinases and phosphoprotein phosphatases
19,conserved hypothetical protein,,Conserved Hypotheticals
20,conserved hypothetical protein,,Conserved Hypotheticals
21,conserved hypothetical protein,,Conserved Hypotheticals
22,conserved hypothetical protein,,Conserved Hypotheticals
23,putative transcriptional regulator,,SMM: Repressors/activators
24,putative p60 homologue ,,Other: Virulence
25,conserved hypothetical protein,,Conserved Hypotheticals
26,conserved hypothetical protein,,Conserved Hypotheticals
27,conserved hypothetical protein,,Conserved Hypotheticals
28,Hypothetical protein,,Unknowns
29,conserved hypothetical protein,,Conserved Hypotheticals
30,Hypothetical protein,,Unknowns
31,conserved hypothetical protein,,Conserved Hypotheticals
32,C-terminal similar to B. subtilis BioF,bioF2,SMM: Biosynthesis of Biotin
33,possible acyl carrier protein,,SMM: Biosyn of fatty and mycolic acids
34,Hypothetical protein,,Unknowns
35,acyl-CoA synthase,FadD34,SMM: Degradation of fatty acids
36,conserved hypothetical protein,,Conserved Hypotheticals
37,probable membrane protein,,MMM: Other membrane proteins
38,conserved hypothetical protein,,Conserved Hypotheticals
39,conserved hypothetical protein,,Conserved Hypotheticals
40,conserved hypothetical protein,,Conserved Hypotheticals
41,leucyl-tRNA synthase,leuS,MMM: Aminoacyl tRNA synthases and their modification
42,conserved hypothetical protein,,Conserved Hypotheticals
43,transcriptional regulator (GntR family),,SMM: Repressors/activators
44,possible monooxygenase,,SMM: Misc oxidoreductases and oxygenases
45,possible dihydrolipoamide acetyltransferase,,SMM: Acyltransferases; mycoloyltransferases; and phospholipid synthesis
46,conserved hypothetical protein,,Conserved Hypotheticals
47,conserved hypothetical protein,,Conserved Hypotheticals
48,Hypothetical protein,,Unknowns
49,Hypothetical protein,,Unknowns
50,penicillin-binding protein,ponA,MMM: Murein sacculus and peptidoglycan
51,probable membrane protein,,MMM: Other membrane proteins
52,conserved hypothetical protein,,Conserved Hypotheticals
53,30S ribosomal protein S6,rpsF,MMM: Ribosomal protein synthesis and modification
54,single strand binding protein,ssb,MMM: DNA replication; repair; recombination and restriction/modification
55,30S ribosomal protein S18,rpsR,MMM: Ribosomal protein synthesis and modification
56,50S ribosomal protein L9,rplI,MMM: Ribosomal protein synthesis and modification
57,Hypothetical protein,,Unknowns
58,DNA helicase (contains intein),dnaB,MMM: DNA replication; repair; recombination and restriction/modification
59,Hypothetical protein,,Unknowns
60,Hypothetical protein,,Unknowns
61,Hypothetical protein,,Unknowns
62,cellulase/endoglucanase,celA,MMM: Degradation of Polysaccharides; lipopolysaccharides and phospholipids
63,probable oxidoreductase,,SMM: Misc oxidoreductases and oxygenases
64,probable membrane protein,,MMM: Other membrane proteins
65,conserved hypothetical protein,,Conserved Hypotheticals
66,isocitrate dehydrogenase,icd2,SMM: Energy Metabolism-TCA cycle
67,transcriptional regulator (TetR/AcrR family),,SMM: Repressors/activators
68,probable oxidoreductase,,SMM: Misc oxidoreductases and oxygenases
69,L-serine dehydratase 1,sdaA,SMM: Intermediate Metabolism-Gluconeogenesis
70,serine hydroxymethyltransferase,glyA2,SMM: Amino acid synthesis-Serine family
71,group II intron maturase,,MMM: DNA replication; repair; recombination and restriction/modification
72,ABC-transporter transmembrane subunit,,MMM: Other membrane proteins
73,ABC-transporter ATP-binding subunit,,MMM: Other membrane proteins
74,conserved hypothetical protein,,Conserved Hypotheticals
75,probable aminotransferase,,Other: Miscellaneous Transferases
76,possible membrane spanning protein,,MMM: Other membrane proteins
77,probable oxidoreductase,,SMM: Misc oxidoreductases and oxygenases
78,transcriptional regulator (TetR/AcrR family),,SMM: Repressors/activators
79,Hypothetical protein,,Unknowns
80,Hypothetical protein,,Unknowns
81,transcriptional regulator (ArsR family),,SMM: Repressors/activators
82,probable oxidoreductase subunit,,SMM: Misc oxidoreductases and oxygenases
83,probable oxidoreductase subunit,,SMM: Misc oxidoreductases and oxygenases
84,formate hydrogenlyase subunit 4,hycD,SMM: Misc oxidoreductases and oxygenases
85,putative formate hydrogen lyase hycP,hycP,SMM: Misc oxidoreductases and oxygenases
86,probable formate hydrogenlyase subunit,hycQ,SMM: Misc oxidoreductases and oxygenases
87,probable formate hydrogenlyase subunit 5,hycE,SMM: Misc oxidoreductases and oxygenases
88,Hypothetical protein,,Unknowns
89,possible bioC biotin synthesis gene,,SMM: Biosynthesis of Biotin
90,Hypothetical protein,,Unknowns
91,conserved hypothetical protein,,Conserved Hypotheticals
92,cation-transporting ATPase,ctpA,Cell Process: Transport/Binding: cations
93,Hypothetical protein,,Unknowns
94,REP-family protein,,Other: IS elements: REP13E12 family
95,REP-family protein,,Other: IS elements: REP13E12 family
96,PPE-family protein,PPE,Other: PPE family of proteins
97,conserved hypothetical protein,,Conserved Hypotheticals
98,Hypothetical protein,,Unknowns
99,acyl-CoA synthase,fadD10,SMM: Degradation of fatty acids
100,Hypothetical protein,,Unknowns
101,unknown non-ribosomal peptide synthesis,nrp,SMM: Polyketide and non-ribosomal peptide synthesis
102,membrane protein,,MMM: Other membrane proteins
103,cation-transporting ATPase,ctpB,Cell Process: Transport/Binding: cations
104,Hypothetical protein,,Unknowns
105,50S ribosomal protein L28,rpmB,MMM: Ribosomal protein synthesis and modification
106,conserved hypothetical protein,,Conserved Hypotheticals
107,probable Mg transport ATPase,ctpI,Cell Process: Transport/Binding: cations
108,Hypothetical protein,,Unknowns
109,PE_PGRS family protein,PE_PGRS,Other: PE family: PGRS subfamily
110,transmembrane protein,,MMM: Other membrane proteins
111,possible acyltransferase,,Other: Miscellaneous Transferases
112,probable GDP-mannonse dehydratase,gca,MMM: Surface polysaccharides; lipopolysaccharides; proteins and antigens
113,phosphoheptose isomerase,gmhA,MMM: Surface polysaccharides; lipopolysaccharides; proteins and antigens
114,similar to HisB,,SMM: Amino acid synthesis-Histidine
115,conserved hypothetical protein,,Conserved Hypotheticals
116,conserved hypothetical protein,,Conserved Hypotheticals
117,transcriptional regulator (LysR family),oxyS,SMM: Repressors/activators
118,oxayl-CoA decarboxylase,oxcA,SMM: Degradation of Carbon compounds
119,acyl-CoA synthase,fadD7,SMM: Degradation of fatty acids
120,elongation factor G,fusA2,MMM: Protein translation and modification
121,Hypothetical protein,,Unknowns
122,Hypothetical protein,,Unknowns
123,Hypothetical protein,,Unknowns
124,PE_PGRS family protein,PE_PGRS,Other: PE family: PGRS subfamily
125,probable serine protease,pepA,MMM: Degradation of Proteins; peptides and glycopeptides
126,probable glycosyl hydrolase,,MMM: Polysaccharides (cytoplasmic)
127,conserved hypothetical protein,,Conserved Hypotheticals
128,Hypothetical protein,,Unknowns
129,antigen 85C; mycolytransferase,fbpC2,SMM: Acyltransferases; mycoloyltransferases; and phospholipid synthesis
130,conserved hypothetical protein,,Conserved Hypotheticals
131,acyl-CoA dehydrogenase,fadE1,SMM: Degradation of fatty acids
132,putative oxidoreductase ,,SMM: Misc oxidoreductases and oxygenases
133,possible puromycin N-acetyltransferase,,Other: Antibiotic production and resistance
134,probable epoxide hydrolase,epnF,Cell Process: Detoxification
135,putative transcriptional regulator,,SMM: Repressors/activators
136,cytochrome P450,,Other: Cytochrome P450 enzymes
137,putative peptide methionine sulfoxide,,SMM: Misc oxidoreductases and oxygenases
138,conserved hypothetical protein,,Conserved Hypotheticals
139,putative oxidoreductase ,,SMM: Misc oxidoreductases and oxygenases
140,conserved hypothetical protein,,Conserved Hypotheticals
141,Hypothetical protein,,Unknowns
142,Hypothetical protein,,Unknowns
143,probable chloride channel,,Cell Process: Transport/Binding: Anions
144,putative transcriptional regulator,,SMM: Repressors/activators
145,conserved hypothetical protein,,Conserved Hypotheticals
146,conserved hypothetical protein,,Conserved Hypotheticals
147,aldehyde dehydrogenase,,SMM: Misc oxidoreductases and oxygenases
148,steriod dehydrogenase,,SMM: Misc oxidoreductases and oxygenases
149,putative oxidoreductase ,,SMM: Misc oxidoreductases and oxygenases
150,conserved hypothetical protein,,Conserved Hypotheticals
151,PE-family protein,PE,Other: PE family: PE subfamily
152,PE-family protein,PE,Other: PE family: PE subfamily
153,putative protein-tyrosine-phosphatase,,SMM: Ser/Thr protein kinases and phosphoprotein phosphatases
154,acyl-CoA dehydrogenase,fadE2,SMM: Degradation of fatty acids
155,pyridine transhydrogenase subunit [alpha]1,pntAA,SMM: Intermediate Metabolism-General
156,pyridine transhydrogenase subunit [alpha]2,pntAB,SMM: Intermediate Metabolism-General
157,pyridine transhydrogenase subunit [beta],pntB,SMM: Intermediate Metabolism-General
158,transcriptional regulator (TetR/AcrR family),,SMM: Repressors/activators
159,PE-family protein,PE,Other: PE family: PE subfamily
160,PE-family protein,PE,Other: PE family: PE subfamily
161,possible oxidoreductase,,SMM: Misc oxidoreductases and oxygenases
