MTnum,Start,End,numofTAs
MT0001,1,1521,31
MT0002,2052,3257,31
MT0003,3280,4434,35
MT0004,4434,4994,7
MT0005,5207,7264,40
MT0006,7302,9815,45
MT0007,9914,10825,10
MT0009,11558,11692,4
MT0010,11877,12311,4
MT0011,12468,13013,7
MT0012,13027,13176,4
MT0013,13136,13558,10
MT0014,13717,13995,3
MT0015,14089,14874,16
MT0016,14914,15609,15
MT0017,15593,17470,24
MT0018,17470,18762,16
MT0019,18762,20234,36
MT0020,20234,21640,27
MT0021,21640,23172,25
MT0022,23273,23737,13
MT0023,23864,25426,51
MT0024,25898,26863,22
MT0025,26975,27280,3
MT0026,27577,28344,12
MT0027,28344,29186,12
MT0028,29227,29496,4
MT0029,29703,31046,14
MT0030,31170,31484,5
MT0030.1,31573,31797,4
MT0031,31808,31948,0
MT0032,32034,32609,8
MT0033,32646,33095,9
MT0034,33168,33494,5
MT0035,33526,33735,1
MT0036,33847,34101,6
MT0037,34239,36551,56
MT0038,36551,36811,3
MT0039,36811,37203,5
MT0040,37203,38888,25
MT0041,39003,39773,4
MT0042,39824,41122,19
MT0043,41248,41853,7
MT0044,41951,42295,4
MT0046,42380,43309,9
MT0047,43506,46412,72
MT0048,46528,47151,5
MT0049,47313,48044,10
MT0050,48180,48971,20
MT0051,48990,49883,7
MT0052,49968,51068,16
MT0053,51132,51671,7
MT0054,51775,52641,16
MT0055,52775,53185,8
MT0056,53181,55640,41
MT0057,55685,57319,34
MT0058,57279,57914,7
MT0059,58136,58423,6
MT0060,58530,59021,5
MT0061,59066,59317,4
MT0062,59353,59808,7
MT0063,59840,60358,15
MT0064,60340,62961,38
MT0065,63144,63833,20
MT0066,63853,64908,23
MT0066.1,64959,65336,6
MT0066.2,65347,65556,4
MT0067,65496,66635,21
MT0068,66867,68303,23
MT0069,68362,68520,1
MT0070,68564,71500,68
MT0071,71802,72200,8
MT0072,72258,74492,38
MT0073,74613,75179,12
MT0074,75282,76190,12
MT0075,76221,77603,12
MT0076,77603,78877,18
MT0077,79467,80180,8
MT0078,80614,81660,16
MT0079,81666,82655,15
MT0080,82738,83970,19
MT0081,83986,85155,24
MT0082,85176,85562,3
MT0083,85629,86480,15
MT0084,86518,87120,8
MT0085,87201,87791,10
MT0085.1,87791,88000,2
MT0086,88194,89012,14
MT0087,89057,89467,4
MT0088,89565,89906,5
MT0089,89914,90390,7
MT0090,90390,92309,23
MT0091,92318,93265,9
MT0092,93279,93938,4
MT0093,93941,95404,15
MT0095,95590,96879,20
MT0096,96917,97588,15
MT0098,97748,98338,10
MT0099,98470,99237,12
MT0099.1,99259,99627,5
MT0100,99674,100438,11
MT0101,100573,102855,30
MT0102,102808,103653,8
MT0103,103703,104563,12
MT0104,104427,105091,10
MT0105,105314,106702,34
MT0106,106724,107590,26
MT0107,107590,108138,11
MT0108,108146,109765,32
MT0109,109773,110006,3
MT0110,109967,117526,122
MT0111,117704,119686,42
MT0112,119908,122163,30
MT0113,122307,123818,27
MT0114,123973,124254,5
MT0115,124364,125557,12
MT0116,125658,130532,63
MT0116.1,130572,130694,4
MT0117,130889,131092,2
MT0118,131263,132861,29
MT0119,132907,133758,17
MT0120,133942,135996,42
MT0121,136281,137234,31
MT0122,137242,138501,26
MT0123,138504,139661,18
MT0124,139947,140132,3
MT0125,140261,140890,14
MT0125.1,141185,142132,17
MT0126,142122,143867,26
MT0127,143989,145614,13
MT0128,145621,147762,27
MT0129,147902,148333,11
MT0130,148446,148862,11
MT0131,148847,149212,8
MT0132,149482,151164,15
MT0133,151319,152383,10
MT0134,152495,154297,30
MT0135,154403,155767,30
MT0136,155838,156614,19
MT0137,156752,157789,30
MT0138,158018,158470,4
MT0139,158489,159829,18
MT0140,159874,160953,15
MT0141,161040,161642,7
MT0142,161942,162841,12
MT0143,162818,163420,11
MT0144,163537,164859,23
MT0145,164886,165431,11
MT0146,165494,165994,6
MT0147,165998,167017,12
MT0148,167081,167458,15
MT0149,167445,167852,9
MT0150,167882,168805,6
MT0151,168878,170353,27
MT0152,170455,171294,14
MT0153,171386,172336,15
MT0154,172373,173311,16
MT0155,173454,174926,26
MT0156,174983,175861,16
MT0157,175871,176836,21
MT0158,176839,177123,4
MT0159,177559,177681,0
MT0160,177717,179480,44
MT0161,179493,181091,40
MT0162,181329,182156,11
MT0163,182161,183381,12
MT0164,183793,185220,12
MT0165,185220,186644,14
MT0167,186953,187594,16
MT0168,187604,189007,50
MT0169,189102,190607,42
MT0170,190775,192122,19
MT0171,192156,193304,16
MT0172,193286,193738,10
MT0173,193795,194277,8
MT0174,194316,194984,6
MT0175,195270,196823,24
MT0176,197030,197824,7
MT0177,197781,198455,9
MT0178,198484,200064,44
MT0179,200064,201101,18
MT0180,201128,202645,25
MT0181,202645,204234,33
MT0182,204237,205403,16
MT0183,205400,206944,31
MT0184,206983,207564,9
MT0185,207570,208529,15
MT0186,208529,209080,12
MT0187,209050,209781,11
MT0188,209818,210924,22
MT0189,211007,212362,28
MT0190,212392,213123,15
MT0191,213143,214252,21
MT0192,214068,215036,18
MT0193,215081,215827,11
MT0194,215827,216333,10
MT0195,216381,218453,34
MT0196,218505,218663,3
MT0197,218823,219476,7
MT0198,219598,220026,10
MT0199,220111,221835,23
MT0200,221983,222270,3
MT0201,222401,223639,19
MT0202,223676,224773,13
MT0203,224839,226662,34
MT0204,226849,230571,58
MT0204.1,230593,230739,4
MT0205,230876,231643,7
MT0206,231759,232340,7
MT0207,232340,234586,31
MT0208,234633,236621,42
MT0209,236775,237320,12
MT0210,237320,238006,7
MT0211,238009,238503,8
MT0212,238509,241406,39
MT0213,241628,242035,3
MT0214,242093,243328,19
MT0215,243498,244598,12
MT0216,244601,247432,34
MT0217,247501,248232,9
MT0218,248232,249020,12
MT0219,249152,250234,15
MT0220,250267,251709,12
MT0221,251896,253713,24
MT0222,253786,254754,6
MT0223,254754,256064,31
MT0224,256178,257788,34
MT0225,257900,259018,20
MT0226,259027,260037,23
MT0227,260040,260858,21
MT0228,261038,262363,19
MT0229,262368,262913,11
MT0230,262926,264134,24
MT0231,264241,265587,26
MT0232,265621,266406,7
MT0233,266418,267878,24
MT0234,267980,268741,15
MT0235,268777,269928,20
MT0236,269951,271678,29
MT0237,271691,272953,23
MT0238,273253,274389,14
MT0239,274423,275100,16
MT0240,275100,276134,18
MT0241,276172,277875,36
MT0242,278013,278699,9
MT0244,278699,279640,11
MT0245,279722,281122,20
MT0246,281283,282728,27
MT0247,282766,286965,38
MT0250,287015,287560,9
MT0251,287300,288463,13
MT0252,288542,289153,13
MT0253,289218,289448,2
MT0254,289459,289893,9
MT0255,289929,290768,16
MT0256,290782,292143,11
MT0257,292285,293604,20
MT0258,293916,295748,23
MT0259,296120,296605,4
MT0260,296885,298231,33
MT0261,298234,298977,12
MT0262,298981,300918,38
MT0263,300952,301770,23
MT0264,301853,302083,4
MT0265,302291,302767,5
MT0266,302981,305539,41
MT0267,305943,306464,6
MT0268,306492,307973,15
MT0269,307995,309662,32
MT0270,309662,309766,2
MT0270.1,309814,310185,3
MT0270.2,310145,310390,2
MT0271,310412,310864,8
MT0272,310892,311632,7
MT0273,311632,312774,22
MT0274,312877,314283,24
MT0275,314427,314969,7
MT0276,314982,315881,16
MT0277,315901,316572,11
MT0278,316629,317618,9
MT0279,317643,321268,42
MT0280,321445,322833,15
MT0281,322881,323387,13
MT0282,323455,324636,11
MT0283,324681,326360,25
MT0284,326383,328575,34
MT0285,328692,329705,15
MT0286,329822,330439,17
MT0286.1,330494,331114,8
MT0287,331050,331772,8
MT0288,331862,332779,17
MT0289,332825,333250,6
MT0290,333277,333531,7
MT0291,333554,336268,25
MT0291.1,336255,336407,2
MT0291.2,336397,336525,2
MT0291.3,336659,336850,1
MT0291.4,337082,338875,12
MT0292,339309,341033,30
MT0293,341060,341965,14
MT0294,342051,342155,4
MT0295,342246,344084,23
MT0296,344084,345697,24
MT0297,345697,349686,61
MT0298,349686,349991,5
MT0299,349997,351535,31
MT0300,351587,351877,5
MT0301,351910,352197,7
MT0302,352211,353095,13
MT0303,353145,354560,19
MT0304,354701,355942,13
MT0305,355942,356934,17
MT0306,356927,358126,27
MT0307,358233,359015,14
MT0308,359010,359810,10
MT0310,359823,361217,42
MT0311,361303,363168,16
MT0312,363314,363538,5
MT0313,363691,363837,1
MT0314,364106,364528,7
MT0315,364667,365296,8
MT0316,365296,366201,12
MT0318,366215,375772,197
MT0319,375975,376643,8
MT0320,376637,377116,9
MT0321,377174,377887,15
